key,input_type,allow_input,is_multiple,values,key_translation.en_US,key_translation.de_DE,value_translations.en_US,value_translations.de_DE
farbe,text,yes,yes,"white, black, grey, silver, blue, yellow, purple, pink, platinum, copper, orange, gold, navy, green, red, brown",Color,Farbe,"white, black, grey, silver, blue, yellow, purple, pink, platinum, copper, orange, gold, navy, green, red, brown","weiß, schwarz, grau, silber, blau, gelb, lila, pink, platin, kupfer, orange, gold, marineblau, grün, rot, braun"
fahrbar,text,yes,no,,Mobile,Fahrbar,,
preiseinheit,text,yes,no,,Price Unit,Preiseinheit,,
brand,text,yes,no,,Brand,Marke,,
ausfuehrung,text,yes,no,,Implementation,Ausführung,,
ablageleiste,text,yes,no,,Marker Tray,Ablageleiste,,
gestellausfuehrung,text,yes,no,,Substructure Version,Gestellausführung,,
material,text,yes,no,"melaminharzbeschichtet,Spanplatte,Aluminium,Stahl,Brass,Cast Iron,Cast Steel,EPDM,Stainless Steel",Material,Material,"melamine-coated,chipboard,Aluminium,Steel,Brass,Cast Iron,Cast Steel,EPDM,Stainless Steel","melaminharzbeschichtet,Spanplatte,Aluminium,Stahl,Brass,Eisen,Stahl,EPDM,Edelstahl"
utensilienschub,text,yes,no,,Utensil Drawer,Utensilienschub,,
einzelauszugssperre,text,yes,no,,Separate Locks,Einzelauszugssperre,,
ausziehbare_mausplattev2,text,yes,no,,Removable mouse plates,Ausziehbare Mausplatte,,
beschriftungsmoeglichkeit,text,yes,no,,Can be Labeled,Beschriftungsmöglichkeit,,
anlieferung,text,yes,no,,Delivery,Anlieferung,,
oberflaeche,text,yes,no,,Surface,Oberfläche,,
konstruktion,text,yes,no,,Construction,Konstruktion,,
ausfuehrung_spindgestell,text,yes,no,,Implementation locker framework,Ausführung Spindgestell,,
tuermaterial,text,yes,no,,Door material,Türmaterial,,
verriegelung,text,yes,no,,Locking,Verriegelung,,
korpusmaterial,text,yes,no,,Body material,Korpusmaterial,,
norm,text,yes,no,,Norm,Norm,,
stapelbar,text,yes,no,,Stackable,Stapelbar,,
reihenverbinder,text,yes,no,,Row connectors,Reihenverbinder,,
rollenausfuehrung,text,yes,no,,Roll design,Rollenausführung,,
lendenwirbelstuetze,text,yes,no,,Lumbar support,Lendenwirbelstütze,,
sitzschalenform,text,yes,no,,Seat form,Sitzschalenform,,
armlehnenausfuhrung,text,yes,no,,Armrest design,Armlehnenausführung,,
